03 · Appearances,,,,,,,,,,,,,,,,
"Registra cuándo y cómo aparece cada elemento. Modality, Source y Relevant For usan listas canónicas. Dos modalidades y tres verticales permiten multivalor sin macros.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
appearance_id_ref,element_id_ref,scene_id_ref,start_time,end_time,modality_1,modality_2,pos_x,pos_y,w,h,source,provenance,relevant_for_1,relevant_for_2,relevant_for_3,notes
A0001,E001,S05,00:02:37.700,00:02:42.500,VISUAL,,0.636,0.827,,,IMPORTED,Imported from legacy Project 12 object_id=6; normalized from hotspot track using source gap rule (>1s starts a new appearance),ADVERTISING,INTERACTIVE,,w/h unavailable in source export.
A0002,E001,S10,00:05:45.200,00:05:47.700,VISUAL,,0.329,0.924,,,IMPORTED,Imported from legacy Project 12 object_id=6; normalized from hotspot track using source gap rule (>1s starts a new appearance),ADVERTISING,INTERACTIVE,,w/h unavailable in source export.
A0003,E001,S15,00:08:20.300,00:08:23.400,VISUAL,,0.899,0.708,,,IMPORTED,Imported from legacy Project 12 object_id=6; normalized from hotspot track using source gap rule (>1s starts a new appearance),ADVERTISING,INTERACTIVE,,w/h unavailable in source export.
A0004,E001,S15,00:08:33.500,00:08:35.600,VISUAL,,0.924,0.726,,,IMPORTED,Imported from legacy Project 12 object_id=6; normalized from hotspot track using source gap rule (>1s starts a new appearance),ADVERTISING,INTERACTIVE,,w/h unavailable in source export.
A0005,E001,S18,00:10:55.700,00:10:59.600,VISUAL,,0.152,0.225,,,IMPORTED,Imported from legacy Project 12 object_id=6; normalized from hotspot track using source gap rule (>1s starts a new appearance),ADVERTISING,INTERACTIVE,,w/h unavailable in source export.
A0006,E001,S24,00:14:45.600,00:14:49.300,VISUAL,,0.321,0.708,,,IMPORTED,Imported from legacy Project 12 object_id=6; normalized from hotspot track using source gap rule (>1s starts a new appearance),ADVERTISING,INTERACTIVE,,w/h unavailable in source export.
A0007,E001,S24,00:14:56.900,00:14:59.100,VISUAL,,0.753,0.933,,,IMPORTED,Imported from legacy Project 12 object_id=6; normalized from hotspot track using source gap rule (>1s starts a new appearance),ADVERTISING,INTERACTIVE,,w/h unavailable in source export.
A0008,E001,S24,00:15:02.600,00:15:04.600,VISUAL,,0.083,0.731,,,IMPORTED,Imported from legacy Project 12 object_id=6; normalized from hotspot track using source gap rule (>1s starts a new appearance),ADVERTISING,INTERACTIVE,,w/h unavailable in source export.
A0009,E001,S24,00:15:06.500,00:15:10.200,VISUAL,,0.082,0.731,,,IMPORTED,Imported from legacy Project 12 object_id=6; normalized from hotspot track using source gap rule (>1s starts a new appearance),ADVERTISING,INTERACTIVE,,w/h unavailable in source export.
A0010,E001,S24,00:15:18.600,00:15:20.800,VISUAL,,0.367,0.625,,,IMPORTED,Imported from legacy Project 12 object_id=6; normalized from hotspot track using source gap rule (>1s starts a new appearance),ADVERTISING,INTERACTIVE,,w/h unavailable in source export.
A0011,E001,S24,00:15:57.500,00:16:00.700,VISUAL,,0.07,0.734,,,IMPORTED,Imported from legacy Project 12 object_id=6; normalized from hotspot track using source gap rule (>1s starts a new appearance),ADVERTISING,INTERACTIVE,,w/h unavailable in source export.
A0012,E001,S24,00:16:17.300,00:16:25.200,VISUAL,,0.36,0.632,,,IMPORTED,Imported from legacy Project 12 object_id=6; normalized from hotspot track using source gap rule (>1s starts a new appearance),ADVERTISING,INTERACTIVE,,w/h unavailable in source export.
