time,pos_x,pos_y,products_id,producto,marca
157.74107360839844000000,0.6362000107765198000000000000,0.8273000121116638000000000000,6,Coca-cola,Coca-Cola
157.78277587890625000000,0.6365000009536743000000000000,0.8273000121116638000000000000,6,Coca-cola,Coca-Cola
157.82449340820312000000,0.6365000009536743000000000000,0.8273000121116638000000000000,6,Coca-cola,Coca-Cola
157.86619567871094000000,0.6365000009536743000000000000,0.8273000121116638000000000000,6,Coca-cola,Coca-Cola
157.90791320800780000000,0.6365000009536743000000000000,0.8273000121116638000000000000,6,Coca-cola,Coca-Cola
157.94961547851562000000,0.6365000009536743000000000000,0.8273000121116638000000000000,6,Coca-cola,Coca-Cola
157.99131774902344000000,0.6365000009536743000000000000,0.8273000121116638000000000000,6,Coca-cola,Coca-Cola
158.03303527832030000000,0.6365000009536743000000000000,0.8273000121116638000000000000,6,Coca-cola,Coca-Cola
158.07473754882812000000,0.6365000009536743000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.11645507812500000000,0.6365000009536743000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.15815734863280000000,0.6365000009536743000000000000,0.8263999819755554000000000000,6,Coca-cola,Coca-Cola
158.19985961914062000000,0.6365000009536743000000000000,0.8263999819755554000000000000,6,Coca-cola,Coca-Cola
158.24157714843750000000,0.6365000009536743000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.28327941894530000000,0.6365000009536743000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.32499694824220000000,0.6365000009536743000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.36669921875000000000,0.6366999745368958000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.40840148925780000000,0.6366999745368958000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.45011901855470000000,0.6366999745368958000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.49182128906250000000,0.6366999745368958000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.53353881835938000000,0.6366999745368958000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.57524108886720000000,0.6366999745368958000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.61694335937500000000,0.6366999745368958000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.65866088867188000000,0.6366999745368958000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.70036315917970000000,0.6366999745368958000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.74208068847656000000,0.6366999745368958000000000000,0.8273000121116638000000000000,6,Coca-cola,Coca-Cola
158.78378295898438000000,0.6366999745368958000000000000,0.8273000121116638000000000000,6,Coca-cola,Coca-Cola
158.82548522949220000000,0.6365000009536743000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.86720275878906000000,0.6366999745368958000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.90890502929688000000,0.6366999745368958000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.95062255859375000000,0.6365000009536743000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
158.99232482910156000000,0.6365000009536743000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
159.03402709960938000000,0.6365000009536743000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
159.07574462890625000000,0.6365000009536743000000000000,0.8263999819755554000000000000,6,Coca-cola,Coca-Cola
159.11744689941406000000,0.6365000009536743000000000000,0.8263999819755554000000000000,6,Coca-cola,Coca-Cola
159.15916442871094000000,0.6365000009536743000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
159.20086669921875000000,0.6365000009536743000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
159.24256896972656000000,0.6362000107765198000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
159.28428649902344000000,0.6362000107765198000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
159.32598876953125000000,0.6362000107765198000000000000,0.8269000053405762000000000000,6,Coca-cola,Coca-Cola
